"","Station_number","Year","Month","Day","Temp_min","Temp_max","Rainfall","Solar_exposure"
"1",9225,1994,1,1,15.6,24,0,32.8
"2",9225,1994,1,2,13.6,23.7,0,32.5
"3",9225,1994,1,3,14,23.4,0,31.5
"4",9225,1994,1,4,13.4,23.6,0,32.7
"5",9225,1994,1,5,13.6,24.5,0,33
"6",9225,1994,1,6,16.2,24.5,0,32.5
"7",9225,1994,1,8,14.7,27.7,0,32.4
"8",9225,1994,1,9,15.4,30.5,0,31.3
"9",9225,1994,1,10,18,27.8,0,31
"10",9225,1994,1,11,17.2,29.3,0,28.4
"11",9225,1994,1,12,17.2,29.7,0,28.5
"12",9225,1994,1,13,18.1,32.5,0,32.1
"13",9225,1994,1,14,19,31.8,0,31.4
"14",9225,1994,1,15,17.8,22.5,1.4,29.5
"15",9225,1994,1,16,16.2,22.9,0,30.8
"16",9225,1994,1,18,16,30.4,0,31.4
"17",9225,1994,1,19,18.6,33.9,0,31.1
"18",9225,1994,1,21,23.9,30.6,0,30.9
"19",9225,1994,1,22,17.9,32,0,31.8
"20",9225,1994,1,23,18.4,36.1,0,31.3
"21",9225,1994,1,24,20.2,25.1,0,19.5
"22",9225,1994,1,25,16.2,21.9,0.2,27.5
"23",9225,1994,1,26,17,25.6,0,29.9
"24",9225,1994,1,27,16.2,34,0,31.9
"25",9225,1994,1,28,19.3,35.6,0,31.4
"26",9225,1994,1,29,18.4,34.2,0,31.5
"27",9225,1994,1,30,19.4,35.8,0,31
"28",9225,1994,2,1,20.2,25.4,0,25.4
"29",9225,1994,2,2,18.4,23.1,0,10
"30",9225,1994,2,4,15.8,28.8,0,30.3
"31",9225,1994,2,5,17.6,24.7,0,17
"32",9225,1994,2,6,12,23.5,0,30
"33",9225,1994,2,7,13.9,23.7,0,19.7
"34",9225,1994,2,9,13.6,23.9,0,25.4
"35",9225,1994,2,10,14.3,27.7,0,28.9
"36",9225,1994,2,11,16.4,33.9,0,28.9
"37",9225,1994,2,12,17.8,37.3,0,27.1
"38",9225,1994,2,13,19.3,24.1,0,27.7
"39",9225,1994,2,14,12.8,27.2,0,29.1
"40",9225,1994,2,15,13.7,29.8,0,29.1
"41",9225,1994,2,16,15.6,32.8,0,29.2
"42",9225,1994,2,17,18,34,0,29.2
"43",9225,1994,2,18,21.9,33.4,0,16.1
"44",9225,1994,2,19,16.5,36.7,0,27.7
"45",9225,1994,2,20,17.2,25.8,0,27.7
"46",9225,1994,2,21,15,30.4,0,27.7
